브랜드,제품명,원래 가격,최종 가격,리뷰 수,리뷰 등급,점수 비율_5점,점수 비율_4점,점수 비율_3점,점수 비율_2점,점수 비율_1점,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요
아이소이,[김지영PICK/1+1] 아이소이 장수진 수분크림 50ml 1+1 한정기획(50ml+50ml),0,31500,2973,5,83,12,4,1,1,33,58,9,62,38,1,74,26,2
닥터디퍼런트,닥터디퍼런트 비타리프트 에이 포르테 20g 기획 (+5g+시카메탈크림1.5g*2) (2402),52000,44200,1732,5,77,14,7,1,1,26,68,6,15,19,66,37,54,9
폴라초이스,폴라초이스 클리니컬 0.3% 레티놀 + 2% 바쿠치올 트리트먼트 30ml,87000,69600,81,5,81,16,1,1,0,36,58,6,17,12,71,36,57,7
라네즈,[선착순 4종 키트 증정] 라네즈 워터뱅크 젤 크림 45ml 기획 (헬로키티 콜라보) (+키링),39000,27550,52,5,81,17,2,0,0,31,62,8,56,44,0,62,38,0
피지오겔,피지오겔 DMT 페이셜 수분크림 150ml,47500,26900,18840,5,83,13,3,0,0,59,38,3,85,15,1,83,17,0
아벤느,아벤느 이드랑스 아쿠아 크림-인-젤 EX 50ml 2입 기획,51000,37910,2482,5,89,7,3,1,1,50,40,10,80,20,0,100,0,0
구달,[한정기획] 구달 청귤 비타C 다크서클 아이크림 30ml 기획 (+15ml*2ea증정),24000,19200,5399,5,74,18,6,1,1,33,60,7,32,21,47,65,33,2
샤이샤이샤이,[단독기획] 샤이샤이샤이 바나나 컨실 아이크림 15g 더블 기획세트,0,37000,2380,5,67,21,9,2,1,43,51,7,43,12,45,78,22,0
에스트라,에스트라 에이시카365 수분 진정 크림 60ml,30000,25500,3367,5,83,11,4,1,1,30,57,13,37,63,0,78,22,1
셀퓨전씨,셀퓨전씨 포스트알파 카밍 다운 크림 50ml,36000,13900,741,5,72,24,4,0,0,18,63,19,22,75,3,75,25,1
빌리프,[7월 올영픽] 빌리프 더 트루 크림 아쿠아 밤 30ml 기획 (+아밤25ml+에센스35ml),31000,24900,63,5,84,10,6,0,0,14,76,10,51,49,2,65,35,0
메이크프렘,[한정기획]메이크프렘 인테카 수딩크림 50ml 기획(+크림 31ml+토너 20ml),24000,17800,4451,5,83,12,4,1,1,17,64,19,28,72,1,75,23,2
나인위시스,나인위시스 비건 화이트 톤업 크림 50ml 기획 (+20ml 증정),22000,15800,2298,5,81,12,5,1,1,30,64,6,23,27,50,61,39,0
바이오더마,[샘플 2종 증정]바이오더마 세비엄 포어 리파이너,28000,21000,1221,5,79,15,5,1,1,8,37,55,25,58,17,67,31,2
파파레서피,파파레서피 마데케어 연고 33g,22000,11000,3,5,100,0,0,0,0,0,67,33,0,100,0,67,33,0
리얼베리어,[쿨링 수딩 크림] 리얼베리어 아쿠아 수딩 크림 100ml 기획 (+25ml),42000,18910,621,5,76,15,7,1,1,29,57,14,29,71,0,57,43,0
코스알엑스,[모공탄력] 코스알엑스 더 레티놀 0.1 크림 20ml,25000,18700,2311,5,75,18,5,1,1,23,61,16,17,21,62,38,47,15
코스알엑스,[모공탄력] 코스알엑스 더 레티놀 0.1 크림 20ml,25000,18700,2311,5,75,18,5,1,1,23,61,16,17,21,62,38,47,15
바이오힐보,바이오힐보 비타민 히알루로닉 젤크림 70mL 기획 (크림 30mL 증정),25000,17500,1615,5,80,14,4,1,1,30,58,12,50,26,24,68,30,2
CKD,[한혜진PICK]CKD 레티노콜라겐 저분자 300 크림 1+1 기획,38000,25900,3946,5,91,7,2,0,0,48,48,4,43,15,42,67,30,3
닥터지,[1+1/탄력]닥터지 블랙 스네일 크림 50ml 1+1 기획 (+앰플 10ml+시트팩 1매),33000,25500,2121,5,88,10,2,0,0,56,41,3,68,15,17,70,30,1
토리든,토리든 다이브인 수딩 크림 더블 기획세트(100ml+100ml),0,42000,8193,5,85,11,3,1,0,30,51,19,65,35,1,79,21,1
CKD,[한혜진PICK] CKD 레티노콜라겐 저분자 300 괄사 목주름 크림 50ml,45000,24900,820,5,78,17,4,0,1,42,55,3,34,15,52,66,34,1
브이앤에이뷰티,[총105mL] V&A 하이드로 프로텍션 크림 55ml 기획 (+50ml 증정),35000,24500,564,5,96,3,1,0,0,56,34,10,76,24,0,85,15,0
브이앤에이뷰티,[총105mL] V&A 하이드로 프로텍션 크림 55ml 기획 (+50ml 증정),35000,24500,564,5,96,3,1,0,0,56,34,10,76,24,0,85,15,0
더랩바이블랑두,더랩바이블랑두 저분자 히알루론산 카밍+ 크림(본품80ml+20ml 추가 증정),35000,23500,2931,5,83,12,4,1,0,26,60,14,68,32,1,80,20,1
에스네이처,[화해1위/수분쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml,34000,22900,700,5,92,6,2,0,0,20,37,43,56,44,1,86,14,1
크리니크,크리니크 쏙보습 크림 (모이스춰 써지 100시간 오토-리플레니싱 하이드레이터) 50ml,48000,38400,175,5,70,22,7,1,1,35,55,10,81,19,1,73,24,3
넘버즈인,[화잘먹] 넘버즈인 3번 결케어 벨벳 뷰티크림 60ml,30000,22500,186,5,83,9,5,2,1,35,61,4,63,23,14,70,28,2
브링그린,[화잘먹크림] 브링그린 티트리시카수딩크림플러스 100mL+100ml 더블기획,34200,20800,7077,5,85,11,3,1,1,16,53,31,26,74,1,68,30,2
라로슈포제,라로슈포제 NEW 시카플라스트 밤B5+ 40ml,25000,21250,3536,5,84,11,3,1,1,48,46,6,41,59,1,72,28,2
구달,[7월 올영픽][고윤정PICK/리필기획] 구달 어성초 히알루론 수딩 크림 75ml 리필 기획 (+75ml 리필),30000,21000,1103,5,95,4,1,0,0,32,57,11,52,48,0,88,12,0
바비브라운,바비브라운 하이드레이팅 아이 크림,98000,78400,17,5,53,35,0,0,12,41,59,0,65,24,12,76,24,0
샤이샤이샤이,샤이샤이샤이 바나나 컨실 아이크림 15g,26000,19800,2089,5,66,21,10,2,1,42,50,8,39,16,45,70,30,1
